Date,Close,High,Low,Volume,MFI
2019-02-01,0.86,0.87,0.82,59807,45.60155778934571
2019-02-04,0.8902,0.9,0.8551,71149,51.28558926991158
2019-02-05,0.85,0.9,0.85,96788,44.44224302292522
2019-02-06,0.9201,0.9643,0.85,109770,39.321153607952375
2019-02-07,0.9393,0.9998,0.9001,77852,51.90783756726493
2019-02-08,0.9009999999999999,0.95,0.9009999999999999,61816,44.33009147637391
2019-02-11,0.93,0.9498,0.88,30441,52.07364266991669
2019-02-12,0.86,0.9329999999999999,0.85,51476,52.14793235187247
2019-02-13,0.89,0.92,0.851,112497,54.33600460421053
2019-02-14,0.855,0.8975,0.85,113222,49.3908728308316
2019-02-15,0.89,0.9,0.85,25878,55.591489545526706
2019-02-21,0.915,0.92,0.91,42111,54.570332540785046
2019-02-22,0.98,0.99,0.9101,154822,64.05449127977735
2019-02-25,0.99,1.1,0.91,458265,67.64528592009147
2019-02-26,0.99,1.03,0.92,118216,47.16684997439096
2019-02-27,0.88,0.9925,0.81,173609,41.47725171923926
2019-02-28,0.8799,0.9,0.83,180947,38.96140658422894
2019-03-01,0.9067,0.91,0.865778,66368,41.769324591026276
2019-03-04,0.8512,0.91,0.7829999999999999,98614,36.43819087070702
2019-03-05,0.8001,0.87,0.78,88026,36.206880102115974
2019-03-06,0.8166140000000001,0.86,0.81,67457,36.818842680536605
2019-03-07,0.7771,0.85,0.757,189441,36.18091882528762
2019-03-08,0.775,0.8001,0.74,61576,31.320189367493196
2019-03-11,0.8,0.8,0.72,87296,35.16014595391649
2019-03-12,0.7501,0.83,0.73,14613,29.80689351778677
2019-03-13,0.82,0.825,0.7442810000000001,53789,29.308211311051885
2019-03-14,0.85,0.85,0.8,74171,29.495498607959505
2019-03-15,0.8958,0.9,0.8,120324,25.51794122883561
2019-03-18,0.9,0.91,0.8315,157311,41.93192593855641
2019-03-19,0.8997,0.9,0.85,35800,52.615713102879404
2019-03-20,0.899,0.9,0.86,10599,61.533456668338424
2019-03-21,0.91,0.92,0.86,52102,55.449480943810016
2019-03-22,0.9031,0.92,0.83,88413,56.20773708671597
