Date,Open,High,Low,Close
2017-10-25,171.9,172.25,168.89,170.6
2017-10-26,171.52,172.285,170.39,170.6
2017-10-27,174.22,178.21,173.9,177.77
2017-10-30,179.26,180.69,177.61,179.84
2017-10-31,180.57,180.8,178.94,180.07
2017-11-01,182.31,182.9,180.57,182.5755
2017-11-02,180.63,181.94,177.34,178.91
2017-11-03,179.19,179.86,176.71,178.92
2017-11-06,178.56,180.45,178.31,180.17
2017-11-07,180.5,180.7478,178.96,180.25
2017-11-08,179.79,180.35,179.11,179.56
2017-11-09,178.28,179.4,177.09,179.3
2017-11-10,178.35,179.0999,177.96,178.455
2017-11-13,177.49,179.04,177.3,178.78
2017-11-14,178.13,178.97,177.18,178.06
2017-11-15,176.84,178.57,176.4,177.96
2017-11-16,178.76,179.83,178.5,179.58
2017-11-17,179.3,179.98,178.9,178.98
2017-11-20,178.87,179.5,178.1,178.74
2017-11-21,179.1,181.89,178.99,181.83
2017-11-22,181.3,181.73,180.44,180.85
2017-11-24,180.44,183.15,180.29,182.78
2017-11-27,182.62,183.73,181.99,183.03
2017-11-28,183.6,184.25,182.09,182.43
2017-11-29,181.88,181.97,174,175.12
2017-11-30,176.85,178.275,175.2,177.15
2017-12-01,176.03,177.48,172.34,174.99
2017-12-04,176.29,176.57,170.79,171.47
2017-12-05,170.46,175.38,169.01,172.83
2017-12-06,172.38,176.77,171.9,176.08
2017-12-07,175.8,180.39,175.8,180.2
2017-12-08,181.63,182.28,178.7401,179
2017-12-11,179.31,180.22,178.8,179.02
2017-12-12,178.6,179.18,176.6,176.96
2017-12-13,177.43,179.16,177.25,178.31
2017-12-14,178.29,180.3601,177.68,178.44
2017-12-15,178.64,180.4934,178.36,180.17
2017-12-18,181.01,181.3,179.75,180.9
2017-12-19,180,180.08,178.22,179.45
2017-12-20,179.82,179.82,177.36,177.88
2017-12-21,177.93,178.68,177.05,177.45
2017-12-22,177.14,177.53,176.23,177.21
2017-12-26,176.63,177,174.67,175.99
2017-12-27,176.54,178.44,176.26,177.51
2017-12-28,177.95,178.9367,177.68,177.89
2017-12-29,178,178.85,176.46,176.52
2018-01-02,177.68,181.58,177.55,181.43
2018-01-03,181.86,184.78,181.33,184.48
2018-01-04,184.9,186.21,184.0996,184.32
2018-01-05,185.59,186.9,184.93,186.78
2018-01-08,187.2,188.9,186.33,188.25
2018-01-09,188.7,188.8,187.1,187.9
2018-01-10,186.94,187.88,185.63,187.84
2018-01-11,188.4,188.4,187.38,187.76
2018-01-12,178.06,181.48,177.4,179.4
2018-01-16,181.5,181.75,178.04,178.4
2018-01-17,178.98,179.32,175.8,177.58
2018-01-18,178.13,180.98,177.08,179.8
2018-01-19,180.75,182.37,180.1702,181.29
2018-01-22,180.79,185.39,180.41,185.37
2018-01-23,186.05,189.55,185.55,189.38
2018-01-24,189.89,190.66,186.52,186.55
2018-01-25,187.87,188.62,186.6,187.46
2018-01-26,187.75,190,186.81,189.92
2018-01-29,188.7,188.84,185.6301,185.96
2018-01-30,183.01,188.18,181.84,187.1
2018-01-31,188.38,189.83,185.22,186.93
2018-02-01,188.22,195.32,187.89,193.08
2018-02-02,192.04,194.21,189.98,190.275
2018-02-05,186.96,190.61,180.61,181.26
2018-02-06,178.47,185.77,177.74,185.43
2018-02-07,184.27,185.0817,179.95,180.17
2018-02-08,181.01,181.84,171.4815,171.595
2018-02-09,174.76,176.9,167.18,176.05
2018-02-12,177.09,177.545,171.84,176.4
2018-02-13,175.62,175.97,173.1,173.15
2018-02-14,173.39,179.81,173.2119,179.46
2018-02-15,180.5,180.5,176.84,179.96
2018-02-16,178.99,179.88,176.3,177.37
2018-02-20,175.89,177.95,175.11,176.01
2018-02-21,176.92,181.27,176.4,177.92
2018-02-22,178.85,180.21,177.41,178.99
2018-02-23,179.99,183.39,179.51,183.2911
2018-02-26,184.58,185.66,183.2228,184.92
2018-02-27,184.45,184.7,181.46,181.46
2018-02-28,182.32,182.88,178.14,178.31
2018-03-01,179,180.12,174.41,175.93
2018-03-02,173.29,177.11,172.99,176.61
2018-03-05,176.11,181.1475,175.89,180.41
2018-03-06,181.72,182.38,179.11,179.77
2018-03-07,178.74,183.82,178.07,183.72
2018-03-08,183.5,184.4,181.45,182.34
2018-03-09,183.96,185.51,183.21,185.21
2018-03-12,185.34,186.1,184.22,184.76
2018-03-13,185.6,185.99,181.11,181.88
2018-03-14,182.52,184.25,181.85,184.24
2018-03-15,183.22,184,182.19,183.86
2018-03-16,184.49,185.33,183.41,185.03
2018-03-19,177.01,177.17,170.06,172.57
2018-03-20,167.41,170.2,161.95,168.14
2018-03-21,164.7,173.4,163.3,169.4492
2018-03-22,166.13,170.27,163.72,164.91
2018-03-23,165.43,167.1,159.02,159.35
2018-03-26,160.78,161.1,149.02,160.0599
2018-03-27,156.35,162.85,150.75,152.27
2018-03-28,151.64,155.88,150.8,153.02
2018-03-29,155.15,161.42,154.14,159.8
2018-04-02,157.81,159.2,154.111,155.39
2018-04-03,156.55,157.39,150.81,156.11
2018-04-04,152.03,155.56,150.51,155.11
2018-04-05,161.56,161.6,156.65,159.3499
2018-04-06,157.73,161.42,156.81,157.19
2018-04-09,157.82,160.53,156.04,157.87
2018-04-10,157.89,165.98,157.01,165.07
2018-04-11,165.44,168.65,163.25,166.34
2018-04-12,166.91,167.45,163.1,163.85
2018-04-13,164.56,165.7036,163.77,164.5317
2018-04-16,165.7249,165.76,163.39,164.83
2018-04-17,165.68,169,165.66,168.66
2018-04-18,166.83,168.12,165.77,166.36
2018-04-19,166.17,168.33,165.2,168.11
2018-04-20,167.79,168.43,165.81,166.29
2018-04-23,167.27,168.45,165.09,165.85
2018-04-24,165.43,166.1,158.19,159.69
2018-04-25,160.1448,161.06,156.19,159.935
2018-04-26,173.22,176.27,170.8,174.23
2018-04-27,176.81,177.1,172.6,173.59
2018-04-30,173.79,175.72,171.71,172.02
2018-05-01,172.09,174.02,170.23,173.87
2018-05-02,174.246,178.08,174.2,176.07
2018-05-03,175.13,176.12,172.12,174.01
2018-05-04,173.08,176.98,173.06,176.61
2018-05-07,177.35,179.5,177.17,177.98
2018-05-08,178.25,179.04,177.11,178.89
2018-05-09,179.67,183.01,178.7807,182.69
2018-05-10,183.15,186.1292,182.5,185.53
2018-05-11,184.85,188.32,184.18,187
2018-05-14,187.71,187.86,186.2,186.6
2018-05-15,184.9,185.29,183.2,184.31
2018-05-16,183.6952,184.32,182.66,183.22
